2024-11-20 12:07:34,298 - INFO - Generated and saved URLs for 504 companies to output_data/company_urls.csv
2024-11-20 12:07:34,299 - INFO - Scraping NVIDIA Corporation (1/504)
2024-11-20 12:07:34,662 - INFO - Fetching URL for A. Brooke Seawell, NVIDIA Corporation, 2024: https://www.salary.com/tools/executive-compensation-calculator/a-brooke-seawell-board-member-of-NVIDIA-CORP?year=2024
2024-11-20 12:07:34,904 - INFO - Found 12 historical board members for A. Brooke Seawell, NVIDIA Corporation, 2024
2024-11-20 12:07:34,904 - INFO - Fetching URL for Aarti Shah, NVIDIA Corporation, 2024: https://www.salary.com/tools/executive-compensation-calculator/aarti-shah-board-member-of-NVIDIA-CORP?year=2024
2024-11-20 12:07:35,130 - INFO - Found 12 historical board members for Aarti Shah, NVIDIA Corporation, 2024
2024-11-20 12:07:35,130 - INFO - Fetching URL for Dawn Hudson, NVIDIA Corporation, 2024: https://www.salary.com/tools/executive-compensation-calculator/dawn-hudson-board-member-of-NVIDIA-CORP?year=2024
2024-11-20 12:07:35,380 - INFO - Found 12 historical board members for Dawn Hudson, NVIDIA Corporation, 2024
2024-11-20 12:07:35,380 - INFO - Fetching URL for Harvey C. Jones, NVIDIA Corporation, 2024: https://www.salary.com/tools/executive-compensation-calculator/harvey-c-jones-board-member-of-NVIDIA-CORP?year=2024
2024-11-20 12:07:35,611 - INFO - Found 12 historical board members for Harvey C. Jones, NVIDIA Corporation, 2024
2024-11-20 12:07:35,611 - INFO - Fetching URL for John O. Dabiri, NVIDIA Corporation, 2024: https://www.salary.com/tools/executive-compensation-calculator/john-o-dabiri-board-member-of-NVIDIA-CORP?year=2024
2024-11-20 12:07:35,828 - INFO - Found 12 historical board members for John O. Dabiri, NVIDIA Corporation, 2024
2024-11-20 12:07:35,828 - INFO - Fetching URL for Mark A. Stevens, NVIDIA Corporation, 2024: https://www.salary.com/tools/executive-compensation-calculator/mark-a-stevens-board-member-of-NVIDIA-CORP?year=2024
2024-11-20 12:07:36,069 - INFO - Found 12 historical board members for Mark A. Stevens, NVIDIA Corporation, 2024
2024-11-20 12:07:36,069 - INFO - Fetching URL for Mark L. Perry, NVIDIA Corporation, 2024: https://www.salary.com/tools/executive-compensation-calculator/mark-l-perry-board-member-of-NVIDIA-CORP?year=2024
2024-11-20 12:07:36,286 - INFO - Found 12 historical board members for Mark L. Perry, NVIDIA Corporation, 2024
2024-11-20 12:07:36,286 - INFO - Fetching URL for Melissa B. Lora, NVIDIA Corporation, 2024: https://www.salary.com/tools/executive-compensation-calculator/melissa-b-lora-board-member-of-NVIDIA-CORP?year=2024
2024-11-20 12:07:36,502 - INFO - Found 12 historical board members for Melissa B. Lora, NVIDIA Corporation, 2024
